birthplace,filename,native_language,sex,country,native_language_num,target_frequency,target,target_lbl
"fiumedinisi, sicily",sicilian1.mp3,sicilian,male,sicily,157,35,12,italian
"luxembourg, luxembourg",luxembourgeois1.mp3,luxembourgeois,female,luxembourg,104,39,9,german
"kargali, tatarstan, russia",tatar1.mp3,tatar,female,russia,175,50,30,turkish
"zofingen, switzerland",sardinian1.mp3,sardinian,female,switzerland,148,35,12,italian
"balkanabat, turkmenistan",turkmen1.mp3,turkmen,male,turkmenistan,184,50,30,turkish
"bishkek, kyrgyzstan",kirghiz1.mp3,kirghiz,female,kyrgyzstan,90,50,30,turkish
"erding, bavaria, germany",bavarian1.mp3,bavarian,female,germany,17,39,9,german
"berchtesgaden, germany",bavarian2.mp3,bavarian,female,germany,17,39,9,german
"slovenj gradec, slovenia",slovenian1.mp3,slovenian,female,slovenia,162,96,25,slavic
"ljubljana, slovenia",slovenian2.mp3,slovenian,male,slovenia,162,96,25,slavic
"almaty, kazakhstan",kazakh2.mp3,kazakh,male,kazakhstan,86,50,30,turkish
"almaty, kazakhstan",kazakh3.mp3,kazakh,female,kazakhstan,86,50,30,turkish
"gomel, belarus",belarusan3.mp3,belarusan,male,belarus,18,96,25,slavic
"chamiancy, vilejka, belarus",belarusan1.mp3,belarusan,male,belarus,18,96,25,slavic
"semey, kazakhstan",kazakh1.mp3,kazakh,male,kazakhstan,86,50,30,turkish
"minsk, belarus",belarusan2.mp3,belarusan,female,belarus,18,96,25,slavic
"baku, azerbaijan",azerbaijani2.mp3,azerbaijani,female,azerbaijan,9,50,30,turkish
"naxcivan, azerbaijan",azerbaijani1.mp3,azerbaijani,male,azerbaijan,9,50,30,turkish
"baku, azerbaijan",azerbaijani3.mp3,azerbaijani,male,azerbaijan,9,50,30,turkish
"barcelona, spain",catalan4.mp3,catalan,female,spain,25,166,26,spanish
"santiago, chile",catalan3.mp3,catalan,female,chile,25,166,26,spanish
"mataro, catalonia, spain",catalan2.mp3,catalan,male,spain,25,166,26,spanish
"tarragona, spain",catalan1.mp3,catalan,male,spain,25,166,26,spanish
"samarkand, uzbekistan",uzbek1.mp3,uzbek,female,uzbekistan,189,50,30,turkish
"kabul, afghanistan",uzbek2.mp3,uzbek,female,afghanistan,189,50,30,turkish
"tashkent, uzbekistan",uzbek3.mp3,uzbek,male,uzbekistan,189,50,30,turkish
"tashkent, uzbekistan",uzbek4.mp3,uzbek,female,uzbekistan,189,50,30,turkish
"kosice, slovak republic",slovak1.mp3,slovak,female,slovak republic,161,96,25,slavic
"piestany, slovak republic",slovak2.mp3,slovak,female,slovak republic,161,96,25,slavic
"nitra, slovak republic",slovak3.mp3,slovak,female,slovak republic,161,96,25,slavic
"bratislava, slovakia",slovak4.mp3,slovak,female,slovakia,161,96,25,slavic
"povazska bystrika, slovakia",slovak5.mp3,slovak,female,slovakia,161,96,25,slavic
"gospic, croatia",croatian8.mp3,croatian,male,croatia,31,96,25,slavic
"unije, croatia",croatian1.mp3,croatian,female,croatia,31,96,25,slavic
"mostar, bosnia and herzegovina",croatian2.mp3,croatian,female,bosnia and herzegovina,31,96,25,slavic
"split, croatia",croatian3.mp3,croatian,female,croatia,31,96,25,slavic
"rijeka, croatia",croatian4.mp3,croatian,male,croatia,31,96,25,slavic
"tomislavgrad, bosnia and herzegovina",croatian5.mp3,croatian,female,bosnia and herzegovina,31,96,25,slavic
"doboj, bosnia and herzegovina",croatian6.mp3,croatian,female,bosnia and herzegovina,31,96,25,slavic
"rijeka, croatia",croatian7.mp3,croatian,female,croatia,31,96,25,slavic
"doboj, bosnia and herzegovina",bosnian1.mp3,bosnian,male,bosnia and herzegovina,20,96,25,slavic
"sarajevo, bosnia and herzegovina",bosnian2.mp3,bosnian,male,bosnia and herzegovina,20,96,25,slavic
"sarajevo, bosnia and herzegovina",bosnian3.mp3,bosnian,female,bosnia and herzegovina,20,96,25,slavic
"travnik, bosnia and herzegovina",bosnian4.mp3,bosnian,male,bosnia and herzegovina,20,96,25,slavic
"travnik, bosnia and herzegovina",bosnian5.mp3,bosnian,female,bosnia and herzegovina,20,96,25,slavic
"zenica, bosnia and herzegovina",bosnian6.mp3,bosnian,female,bosnia and herzegovina,20,96,25,slavic
"gornji vakuf, bosnia and herzegovina",bosnian7.mp3,bosnian,female,bosnia and herzegovina,20,96,25,slavic
"sarajevo, bosnia and herzegovina",bosnian8.mp3,bosnian,female,bosnia and herzegovina,20,96,25,slavic
"sarajevo, bosnia and herzegovina",bosnian9.mp3,bosnian,male,bosnia and herzegovina,20,96,25,slavic
"prague, czech republic",czech9.mp3,czech,male,czech republic,32,96,25,slavic
"ostrava, czech republic",czech7.mp3,czech,female,czech republic,32,96,25,slavic
"ostrava, czech republic",czech6.mp3,czech,male,czech republic,32,96,25,slavic
"klando, czech republic",czech5.mp3,czech,female,czech republic,32,96,25,slavic
"pizen, czech republic",czech8.mp3,czech,female,czech republic,32,96,25,slavic
"nachod, czech republic",czech3.mp3,czech,male,czech republic,32,96,25,slavic
"velky osek, czech republic",czech2.mp3,czech,male,czech republic,32,96,25,slavic
"prague, czech republic",czech1.mp3,czech,female,czech republic,32,96,25,slavic
"prague, czech republic",czech4.mp3,czech,female,czech republic,32,96,25,slavic
"sulaymaniyah, iraq",kurdish9.mp3,kurdish,male,iraq,96,10,15,kurdish
"ludhiana, india",punjabi10.mp3,punjabi,male,india,140,10,21,punjabi
"hoshiarpur, india",punjabi2.mp3,punjabi,male,india,140,10,21,punjabi
"moga, punjab, india",punjabi3.mp3,punjabi,male,india,140,10,21,punjabi
"lahore, pakistan",punjabi6.mp3,punjabi,male,pakistan,140,10,21,punjabi
"lahore, pakistan",punjabi7.mp3,punjabi,male,pakistan,140,10,21,punjabi
"ropar, punjab, india",punjabi5.mp3,punjabi,male,india,140,10,21,punjabi
"moga, india",punjabi4.mp3,punjabi,female,india,140,10,21,punjabi
"sulaymaniyah, iraq",kurdish8.mp3,kurdish,female,iraq,96,10,15,kurdish
